Date,Time,DateTime,Temp,TempF,TempC,Dew Point,Humidity,HumidityP,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition,Confirmed Cases,Cases Increase
12/17/19,12:00 AM,12/17/19 00:00,46 F,46,8,41 F,81 %,81,N,7 mph,0 mph,30.03 in,0.0 in,Cloudy,0,0.00
12/17/19,1:00 AM,12/17/19 01:00,46 F,46,8,41 F,81 %,81,VAR,2 mph,0 mph,30.00 in,0.0 in,Cloudy,0,0.00
12/17/19,2:00 AM,12/17/19 02:00,46 F,46,8,43 F,87 %,87,VAR,2 mph,0 mph,30.03 in,0.0 in,Cloudy,0,0.00
12/17/19,3:00 AM,12/17/19 03:00,45 F,45,7,41 F,87 %,87,CALM,0 mph,0 mph,30.03 in,0.0 in,Fair,0,0.00
12/17/19,4:00 AM,12/17/19 04:00,45 F,45,7,41 F,87 %,87,CALM,0 mph,0 mph,30.00 in,0.0 in,Fair,0,0.00
12/17/19,5:00 AM,12/17/19 05:00,46 F,46,8,41 F,81 %,81,VAR,2 mph,0 mph,30.03 in,0.0 in,Fair,0,0.00
12/17/19,6:00 AM,12/17/19 06:00,46 F,46,8,41 F,81 %,81,CALM,0 mph,0 mph,30.03 in,0.0 in,Fair,0,0.00
12/17/19,7:00 AM,12/17/19 07:00,46 F,46,8,41 F,81 %,81,VAR,2 mph,0 mph,30.05 in,0.0 in,Fair,0,0.00
12/17/19,8:00 AM,12/17/19 08:00,46 F,46,8,41 F,81 %,81,VAR,2 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/17/19,9:00 AM,12/17/19 09:00,48 F,48,9,41 F,76 %,76,NNW,7 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/17/19,10:00 AM,12/17/19 10:00,46 F,46,8,41 F,81 %,81,N,7 mph,0 mph,30.11 in,0.0 in,Light Rain,0,0.00
12/17/19,11:00 AM,12/17/19 11:00,46 F,46,8,41 F,81 %,81,N,4 mph,0 mph,30.11 in,0.0 in,Fog,0,0.00
12/17/19,12:00 PM,12/17/19 12:00,46 F,46,8,43 F,87 %,87,N,7 mph,0 mph,30.11 in,0.0 in,Light Rain,0,0.00
12/17/19,1:00 PM,12/17/19 13:00,46 F,46,8,41 F,81 %,81,NNW,7 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/17/19,2:00 PM,12/17/19 14:00,46 F,46,8,41 F,81 %,81,NNW,4 mph,0 mph,30.08 in,0.0 in,Fog,0,0.00
12/17/19,3:00 PM,12/17/19 15:00,48 F,48,9,41 F,76 %,76,N,4 mph,0 mph,30.08 in,0.0 in,Fog,0,0.00
12/17/19,4:00 PM,12/17/19 16:00,48 F,48,9,41 F,76 %,76,N,7 mph,0 mph,30.08 in,0.0 in,Fog,0,0.00
12/17/19,5:00 PM,12/17/19 17:00,48 F,48,9,41 F,76 %,76,NNW,4 mph,0 mph,30.11 in,0.0 in,Light Rain,0,0.00
12/17/19,6:00 PM,12/17/19 18:00,46 F,46,8,39 F,76 %,76,N,7 mph,0 mph,30.11 in,0.0 in,Fair,0,0.00
12/17/19,7:00 PM,12/17/19 19:00,46 F,46,8,39 F,76 %,76,N,7 mph,0 mph,30.14 in,0.0 in,Light Rain,0,0.00
12/17/19,8:00 PM,12/17/19 20:00,46 F,46,8,39 F,76 %,76,NNW,4 mph,0 mph,30.17 in,0.0 in,Haze,0,0.00
12/17/19,9:00 PM,12/17/19 21:00,46 F,46,8,37 F,71 %,71,N,7 mph,0 mph,30.17 in,0.0 in,Fair,0,0.00
12/17/19,10:00 PM,12/17/19 22:00,46 F,46,8,37 F,71 %,71,N,4 mph,0 mph,30.20 in,0.0 in,Fair,0,0.00
12/17/19,11:00 PM,12/17/19 23:00,46 F,46,8,39 F,76 %,76,N,7 mph,0 mph,30.20 in,0.0 in,Haze,0,0.00
12/18/19,12:00 AM,12/18/19 00:00,45 F,45,7,37 F,76 %,76,NNE,9 mph,0 mph,30.23 in,0.0 in,Haze,0,0.00
12/18/19,1:00 AM,12/18/19 01:00,45 F,45,7,37 F,76 %,76,NNE,7 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/18/19,2:00 AM,12/18/19 02:00,45 F,45,7,37 F,76 %,76,NNE,4 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/18/19,3:00 AM,12/18/19 03:00,45 F,45,7,37 F,76 %,76,NNE,4 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/18/19,4:00 AM,12/18/19 04:00,43 F,43,6,37 F,81 %,81,NNE,9 mph,0 mph,30.20 in,0.0 in,Fog,0,0.00
12/18/19,5:00 AM,12/18/19 05:00,43 F,43,6,37 F,81 %,81,NNE,9 mph,0 mph,30.20 in,0.0 in,Fog,0,0.00
12/18/19,6:00 AM,12/18/19 06:00,43 F,43,6,37 F,81 %,81,NNE,7 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/18/19,7:00 AM,12/18/19 07:00,43 F,43,6,37 F,81 %,81,N,7 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/18/19,8:00 AM,12/18/19 08:00,43 F,43,6,37 F,81 %,81,NNE,7 mph,0 mph,30.26 in,0.0 in,Light Rain,0,0.00
12/18/19,9:00 AM,12/18/19 09:00,41 F,41,5,37 F,87 %,87,N,7 mph,0 mph,30.29 in,0.0 in,Light Rain,0,0.00
12/18/19,10:00 AM,12/18/19 10:00,41 F,41,5,39 F,93 %,93,N,4 mph,0 mph,30.29 in,0.0 in,Light Rain,0,0.00
12/18/19,11:00 AM,12/18/19 11:00,39 F,39,4,37 F,93 %,93,NNE,9 mph,0 mph,30.29 in,0.0 in,Rain,0,0.00
12/18/19,12:00 PM,12/18/19 12:00,39 F,39,4,37 F,93 %,93,N,9 mph,0 mph,30.29 in,0.0 in,Rain,0,0.00
12/18/19,1:00 PM,12/18/19 13:00,39 F,39,4,36 F,87 %,87,N,9 mph,0 mph,30.26 in,0.0 in,Rain,0,0.00
12/18/19,2:00 PM,12/18/19 14:00,37 F,37,3,36 F,93 %,93,NNE,9 mph,0 mph,30.26 in,0.0 in,Rain,0,0.00
12/18/19,3:00 PM,12/18/19 15:00,39 F,39,4,37 F,93 %,93,NNE,7 mph,0 mph,30.23 in,0.0 in,Light Rain,0,0.00
12/18/19,4:00 PM,12/18/19 16:00,39 F,39,4,37 F,93 %,93,N,7 mph,0 mph,30.23 in,0.0 in,Light Rain,0,0.00
12/18/19,5:00 PM,12/18/19 17:00,39 F,39,4,36 F,87 %,87,NNE,7 mph,0 mph,30.26 in,0.0 in,Light Rain,0,0.00
12/18/19,6:00 PM,12/18/19 18:00,39 F,39,4,36 F,87 %,87,NNE,4 mph,0 mph,30.26 in,0.0 in,Light Rain,0,0.00
12/18/19,7:00 PM,12/18/19 19:00,39 F,39,4,36 F,87 %,87,NNE,4 mph,0 mph,30.29 in,0.0 in,Light Rain,0,0.00
12/18/19,8:00 PM,12/18/19 20:00,39 F,39,4,36 F,87 %,87,VAR,2 mph,0 mph,30.29 in,0.0 in,Light Rain,0,0.00
12/18/19,9:00 PM,12/18/19 21:00,39 F,39,4,37 F,93 %,93,N,4 mph,0 mph,30.29 in,0.0 in,Fog,0,0.00
12/18/19,10:00 PM,12/18/19 22:00,39 F,39,4,37 F,93 %,93,VAR,2 mph,0 mph,30.29 in,0.0 in,Light Rain,0,0.00
12/18/19,11:00 PM,12/18/19 23:00,39 F,39,4,37 F,93 %,93,N,4 mph,0 mph,30.32 in,0.0 in,Light Rain,0,0.00
12/19/19,12:00 AM,12/19/19 00:00,39 F,39,4,36 F,87 %,87,VAR,2 mph,0 mph,30.29 in,0.0 in,Light Rain,0,0.00
12/19/19,1:00 AM,12/19/19 01:00,39 F,39,4,36 F,87 %,87,VAR,2 mph,0 mph,30.29 in,0.0 in,Fog,0,0.00
12/19/19,2:00 AM,12/19/19 02:00,37 F,37,3,36 F,93 %,93,N,2 mph,0 mph,30.26 in,0.0 in,Fog,0,0.00
12/19/19,3:00 AM,12/19/19 03:00,36 F,36,2,34 F,93 %,93,NNE,7 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/19/19,4:00 AM,12/19/19 04:00,36 F,36,2,32 F,87 %,87,VAR,2 mph,0 mph,30.26 in,0.0 in,Mostly Cloudy,0,0.00
12/19/19,5:00 AM,12/19/19 05:00,36 F,36,2,32 F,87 %,87,N,2 mph,0 mph,30.26 in,0.0 in,Mostly Cloudy,0,0.00
12/19/19,6:00 AM,12/19/19 06:00,36 F,36,2,32 F,87 %,87,NE,4 mph,0 mph,30.26 in,0.0 in,Fair,0,0.00
12/19/19,7:00 AM,12/19/19 07:00,37 F,37,3,34 F,87 %,87,N,4 mph,0 mph,30.26 in,0.0 in,Fair,0,0.00
12/19/19,8:00 AM,12/19/19 08:00,36 F,36,2,34 F,93 %,93,CALM,0 mph,0 mph,30.29 in,0.0 in,Fair,0,0.00
12/19/19,9:00 AM,12/19/19 09:00,39 F,39,4,34 F,81 %,81,SW,4 mph,0 mph,30.32 in,0.0 in,Fair,0,0.00
12/19/19,10:00 AM,12/19/19 10:00,39 F,39,4,34 F,81 %,81,VAR,2 mph,0 mph,30.32 in,0.0 in,Fair,0,0.00
12/19/19,11:00 AM,12/19/19 11:00,43 F,43,6,36 F,76 %,76,VAR,4 mph,0 mph,30.32 in,0.0 in,Fair,0,0.00
12/19/19,12:00 PM,12/19/19 12:00,43 F,43,6,36 F,76 %,76,W,7 mph,0 mph,30.29 in,0.0 in,Fair,0,0.00
12/19/19,1:00 PM,12/19/19 13:00,46 F,46,8,34 F,62 %,62,WSW,4 mph,0 mph,30.26 in,0.0 in,Fair,0,0.00
12/19/19,2:00 PM,12/19/19 14:00,48 F,48,9,34 F,57 %,57,NW,2 mph,0 mph,30.23 in,0.0 in,Fair,0,0.00
12/19/19,3:00 PM,12/19/19 15:00,48 F,48,9,32 F,54 %,54,WSW,4 mph,0 mph,30.17 in,0.0 in,Fair,0,0.00
12/19/19,4:00 PM,12/19/19 16:00,50 F,50,10,34 F,54 %,54,VAR,2 mph,0 mph,30.20 in,0.0 in,Fair,0,0.00
12/19/19,5:00 PM,12/19/19 17:00,48 F,48,9,34 F,57 %,57,VAR,2 mph,0 mph,30.20 in,0.0 in,Fair,0,0.00
12/19/19,6:00 PM,12/19/19 18:00,46 F,46,8,34 F,62 %,62,SSE,4 mph,0 mph,30.23 in,0.0 in,Fair,0,0.00
12/19/19,7:00 PM,12/19/19 19:00,46 F,46,8,34 F,62 %,62,VAR,2 mph,0 mph,30.26 in,0.0 in,Fair,0,0.00
12/19/19,8:00 PM,12/19/19 20:00,43 F,43,6,37 F,81 %,81,VAR,2 mph,0 mph,30.26 in,0.0 in,Fair,0,0.00
12/19/19,9:00 PM,12/19/19 21:00,41 F,41,5,37 F,87 %,87,VAR,2 mph,0 mph,30.29 in,0.0 in,Fair,0,0.00
12/19/19,10:00 PM,12/19/19 22:00,43 F,43,6,39 F,87 %,87,WSW,2 mph,0 mph,30.29 in,0.0 in,Fair,0,0.00
12/19/19,11:00 PM,12/19/19 23:00,41 F,41,5,39 F,93 %,93,VAR,2 mph,0 mph,30.29 in,0.0 in,Fair,0,0.00
12/20/19,12:00 AM,12/20/19 00:00,41 F,41,5,37 F,87 %,87,VAR,2 mph,0 mph,30.26 in,0.0 in,Fair,0,0.00
12/20/19,1:00 AM,12/20/19 01:00,39 F,39,4,37 F,93 %,93,CALM,0 mph,0 mph,30.26 in,0.0 in,Fair,0,0.00
12/20/19,2:00 AM,12/20/19 02:00,39 F,39,4,37 F,93 %,93,N,4 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/20/19,3:00 AM,12/20/19 03:00,39 F,39,4,37 F,93 %,93,NE,7 mph,0 mph,30.17 in,0.0 in,Fog,0,0.00
12/20/19,4:00 AM,12/20/19 04:00,39 F,39,4,34 F,81 %,81,NNE,4 mph,0 mph,30.20 in,0.0 in,Fair,0,0.00
12/20/19,5:00 AM,12/20/19 05:00,39 F,39,4,34 F,81 %,81,S,4 mph,0 mph,30.23 in,0.0 in,Fair,0,0.00
12/20/19,6:00 AM,12/20/19 06:00,39 F,39,4,36 F,87 %,87,SSW,2 mph,0 mph,30.26 in,0.0 in,Partly Cloudy,0,0.00
12/20/19,7:00 AM,12/20/19 07:00,39 F,39,4,37 F,93 %,93,ESE,4 mph,0 mph,30.23 in,0.0 in,Fair,0,0.00
12/20/19,8:00 AM,12/20/19 08:00,39 F,39,4,36 F,87 %,87,NE,4 mph,0 mph,30.23 in,0.0 in,Fog,0,0.00
12/20/19,9:00 AM,12/20/19 09:00,41 F,41,5,39 F,93 %,93,E,9 mph,0 mph,30.20 in,0.0 in,Fog,0,0.00
12/20/19,10:00 AM,12/20/19 10:00,43 F,43,6,39 F,87 %,87,VAR,4 mph,0 mph,30.26 in,0.0 in,Fog,0,0.00
12/20/19,11:00 AM,12/20/19 11:00,45 F,45,7,39 F,81 %,81,VAR,2 mph,0 mph,30.26 in,0.0 in,Fog,0,0.00
12/20/19,12:00 PM,12/20/19 12:00,45 F,45,7,39 F,81 %,81,N,4 mph,0 mph,30.20 in,0.0 in,Fog,0,0.00
12/20/19,1:00 PM,12/20/19 13:00,46 F,46,8,39 F,76 %,76,NNW,4 mph,0 mph,30.17 in,0.0 in,Fog,0,0.00
12/20/19,2:00 PM,12/20/19 14:00,46 F,46,8,37 F,71 %,71,VAR,2 mph,0 mph,30.17 in,0.0 in,Haze,0,0.00
12/20/19,3:00 PM,12/20/19 15:00,48 F,48,9,37 F,66 %,66,E,4 mph,0 mph,30.14 in,0.0 in,Haze,0,0.00
12/20/19,4:00 PM,12/20/19 16:00,46 F,46,8,37 F,71 %,71,ESE,7 mph,0 mph,30.14 in,0.0 in,Haze,0,0.00
12/20/19,5:00 PM,12/20/19 17:00,46 F,46,8,37 F,71 %,71,ESE,7 mph,0 mph,30.14 in,0.0 in,Haze,0,0.00
12/20/19,6:00 PM,12/20/19 18:00,45 F,45,7,37 F,76 %,76,SE,4 mph,0 mph,30.14 in,0.0 in,Haze,0,0.00
12/20/19,7:00 PM,12/20/19 19:00,45 F,45,7,39 F,81 %,81,E,7 mph,0 mph,30.17 in,0.0 in,Fair,0,0.00
12/20/19,8:00 PM,12/20/19 20:00,43 F,43,6,39 F,87 %,87,ENE,9 mph,0 mph,30.14 in,0.0 in,Fair,0,0.00
12/20/19,9:00 PM,12/20/19 21:00,41 F,41,5,37 F,87 %,87,VAR,2 mph,0 mph,30.20 in,0.0 in,Fair,0,0.00
12/20/19,10:00 PM,12/20/19 22:00,43 F,43,6,37 F,81 %,81,NE,4 mph,0 mph,30.20 in,0.0 in,Fair,0,0.00
12/20/19,11:00 PM,12/20/19 23:00,43 F,43,6,39 F,87 %,87,NE,7 mph,0 mph,30.20 in,0.0 in,Fog,0,0.00
12/21/19,12:00 AM,12/21/19 00:00,43 F,43,6,37 F,81 %,81,NNE,4 mph,0 mph,30.17 in,0.0 in,Fog,0,0.00
12/21/19,1:00 AM,12/21/19 01:00,43 F,43,6,39 F,87 %,87,E,2 mph,0 mph,30.17 in,0.0 in,Light Rain,0,0.00
12/21/19,2:00 AM,12/21/19 02:00,43 F,43,6,39 F,87 %,87,S,4 mph,0 mph,30.17 in,0.0 in,Fog,0,0.00
12/21/19,3:00 AM,12/21/19 03:00,43 F,43,6,39 F,87 %,87,E,4 mph,0 mph,30.14 in,0.0 in,Light Rain,0,0.00
12/21/19,4:00 AM,12/21/19 04:00,43 F,43,6,39 F,87 %,87,VAR,2 mph,0 mph,30.11 in,0.0 in,Light Rain,0,0.00
12/21/19,5:00 AM,12/21/19 05:00,43 F,43,6,39 F,87 %,87,CALM,0 mph,0 mph,30.11 in,0.0 in,Fair,0,0.00
12/21/19,6:00 AM,12/21/19 06:00,43 F,43,6,41 F,93 %,93,CALM,0 mph,0 mph,30.11 in,0.0 in,Fair,0,0.00
12/21/19,7:00 AM,12/21/19 07:00,43 F,43,6,39 F,87 %,87,NNE,4 mph,0 mph,30.11 in,0.0 in,Fair,0,0.00
12/21/19,8:00 AM,12/21/19 08:00,43 F,43,6,39 F,87 %,87,NNE,2 mph,0 mph,30.14 in,0.0 in,Fog,0,0.00
12/21/19,9:00 AM,12/21/19 09:00,45 F,45,7,39 F,81 %,81,VAR,2 mph,0 mph,30.14 in,0.0 in,Fog,0,0.00
12/21/19,10:00 AM,12/21/19 10:00,45 F,45,7,39 F,81 %,81,CALM,0 mph,0 mph,30.14 in,0.0 in,Fog,0,0.00
12/21/19,11:00 AM,12/21/19 11:00,46 F,46,8,39 F,76 %,76,W,4 mph,0 mph,30.14 in,0.0 in,Fog,0,0.00
12/21/19,12:00 PM,12/21/19 12:00,46 F,46,8,37 F,71 %,71,WSW,4 mph,0 mph,30.08 in,0.0 in,Haze,0,0.00
12/21/19,1:00 PM,12/21/19 13:00,46 F,46,8,41 F,81 %,81,W,4 mph,0 mph,30.05 in,0.0 in,Fair,0,0.00
12/21/19,2:00 PM,12/21/19 14:00,48 F,48,9,37 F,66 %,66,W,4 mph,0 mph,30.03 in,0.0 in,Haze,0,0.00
12/21/19,3:00 PM,12/21/19 15:00,46 F,46,8,39 F,76 %,76,WSW,4 mph,0 mph,30.05 in,0.0 in,Haze,0,0.00
12/21/19,4:00 PM,12/21/19 16:00,46 F,46,8,39 F,76 %,76,W,4 mph,0 mph,30.03 in,0.0 in,Haze,0,0.00
12/21/19,5:00 PM,12/21/19 17:00,46 F,46,8,39 F,76 %,76,WSW,4 mph,0 mph,30.03 in,0.0 in,Light Rain,0,0.00
12/21/19,6:00 PM,12/21/19 18:00,46 F,46,8,41 F,81 %,81,VAR,2 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/21/19,7:00 PM,12/21/19 19:00,45 F,45,7,41 F,87 %,87,SSW,7 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/21/19,8:00 PM,12/21/19 20:00,45 F,45,7,41 F,87 %,87,SSW,7 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/21/19,9:00 PM,12/21/19 21:00,45 F,45,7,43 F,93 %,93,SSW,7 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/21/19,10:00 PM,12/21/19 22:00,43 F,43,6,41 F,93 %,93,SSW,7 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/21/19,11:00 PM,12/21/19 23:00,43 F,43,6,41 F,93 %,93,SW,4 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/22/19,12:00 AM,12/22/19 00:00,43 F,43,6,41 F,93 %,93,WSW,4 mph,0 mph,30.08 in,0.0 in,Light Rain,0,0.00
12/22/19,1:00 AM,12/22/19 01:00,43 F,43,6,41 F,93 %,93,SW,4 mph,0 mph,30.08 in,0.0 in,Fog,0,0.00
12/22/19,2:00 AM,12/22/19 02:00,43 F,43,6,39 F,87 %,87,SW,7 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/22/19,3:00 AM,12/22/19 03:00,43 F,43,6,41 F,93 %,93,W,4 mph,0 mph,30.08 in,0.0 in,Fog,0,0.00
12/22/19,4:00 AM,12/22/19 04:00,43 F,43,6,41 F,93 %,93,W,4 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/22/19,5:00 AM,12/22/19 05:00,41 F,41,5,39 F,93 %,93,VAR,2 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/22/19,6:00 AM,12/22/19 06:00,39 F,39,4,37 F,93 %,93,SSW,4 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/22/19,7:00 AM,12/22/19 07:00,39 F,39,4,37 F,93 %,93,SSE,2 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/22/19,8:00 AM,12/22/19 08:00,39 F,39,4,39 F,100 %,10,VAR,2 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/22/19,9:00 AM,12/22/19 09:00,43 F,43,6,41 F,93 %,93,VAR,2 mph,0 mph,30.05 in,0.0 in,Fog,0,0.00
12/22/19,10:00 AM,12/22/19 10:00,43 F,43,6,41 F,93 %,93,VAR,2 mph,0 mph,30.08 in,0.0 in,Fog,0,0.00
12/22/19,11:00 AM,12/22/19 11:00,45 F,45,7,41 F,87 %,87,NW,4 mph,0 mph,30.08 in,0.0 in,Fog,0,0.00
12/22/19,12:00 PM,12/22/19 12:00,46 F,46,8,41 F,81 %,81,WNW,4 mph,0 mph,30.03 in,0.0 in,Fog,0,0.00
12/22/19,1:00 PM,12/22/19 13:00,48 F,48,9,41 F,76 %,76,W,4 mph,0 mph,30.00 in,0.0 in,Fog,0,0.00
12/22/19,2:00 PM,12/22/19 14:00,50 F,50,10,39 F,66 %,66,SW,4 mph,0 mph,29.97 in,0.0 in,Haze,0,0.00
12/22/19,3:00 PM,12/22/19 15:00,50 F,50,10,37 F,62 %,62,SSE,4 mph,0 mph,29.97 in,0.0 in,Haze,0,0.00
12/22/19,4:00 PM,12/22/19 16:00,50 F,50,10,39 F,66 %,66,ESE,4 mph,0 mph,29.97 in,0.0 in,Haze,0,0.00
12/22/19,5:00 PM,12/22/19 17:00,48 F,48,9,41 F,76 %,76,ESE,11 mph,0 mph,29.94 in,0.0 in,Haze,0,0.00
12/22/19,6:00 PM,12/22/19 18:00,48 F,48,9,41 F,76 %,76,ESE,9 mph,0 mph,29.97 in,0.0 in,Fog,0,0.00
12/22/19,7:00 PM,12/22/19 19:00,48 F,48,9,41 F,76 %,76,E,9 mph,0 mph,29.97 in,0.0 in,Fog,0,0.00
12/22/19,8:00 PM,12/22/19 20:00,48 F,48,9,39 F,71 %,71,ESE,11 mph,0 mph,29.97 in,0.0 in,Fog,0,0.00
12/22/19,9:00 PM,12/22/19 21:00,46 F,46,8,39 F,76 %,76,ESE,9 mph,0 mph,30.00 in,0.0 in,Haze,0,0.00
12/22/19,10:00 PM,12/22/19 22:00,46 F,46,8,39 F,76 %,76,E,11 mph,0 mph,30.00 in,0.0 in,Haze,0,0.00
12/22/19,11:00 PM,12/22/19 23:00,45 F,45,7,37 F,76 %,76,E,9 mph,0 mph,30.00 in,0.0 in,Haze,0,0.00
12/23/19,12:00 AM,12/23/19 00:00,45 F,45,7,37 F,76 %,76,E,9 mph,0 mph,30.00 in,0.0 in,Haze,0,0.00
12/23/19,1:00 AM,12/23/19 01:00,45 F,45,7,37 F,76 %,76,NNE,4 mph,0 mph,30.00 in,0.0 in,Cloudy,0,0.00
12/23/19,2:00 AM,12/23/19 02:00,43 F,43,6,37 F,81 %,81,NE,9 mph,0 mph,30.00 in,0.0 in,Fair,0,0.00
12/23/19,3:00 AM,12/23/19 03:00,45 F,45,7,37 F,76 %,76,E,9 mph,0 mph,29.97 in,0.0 in,Cloudy,0,0.00
12/23/19,4:00 AM,12/23/19 04:00,45 F,45,7,39 F,81 %,81,NNE,4 mph,0 mph,30.00 in,0.0 in,Cloudy,0,0.00
12/23/19,5:00 AM,12/23/19 05:00,45 F,45,7,39 F,81 %,81,ENE,7 mph,0 mph,29.97 in,0.0 in,Cloudy,0,0.00
12/23/19,6:00 AM,12/23/19 06:00,45 F,45,7,39 F,81 %,81,ENE,4 mph,0 mph,29.97 in,0.0 in,Cloudy,0,0.00
12/23/19,7:00 AM,12/23/19 07:00,45 F,45,7,39 F,81 %,81,ENE,7 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,0,0.00
12/23/19,8:00 AM,12/23/19 08:00,45 F,45,7,39 F,81 %,81,ENE,9 mph,0 mph,30.00 in,0.0 in,Cloudy,0,0.00
12/23/19,9:00 AM,12/23/19 09:00,45 F,45,7,39 F,81 %,81,NE,7 mph,0 mph,30.03 in,0.0 in,Partly Cloudy,0,0.00
12/23/19,10:00 AM,12/23/19 10:00,46 F,46,8,39 F,76 %,76,NE,7 mph,0 mph,30.03 in,0.0 in,Partly Cloudy,0,0.00
